iter	Passed	Remaining
0	9	1972
1	12	1238
2	17	1136
3	22	1082
4	26	1019
5	30	978
6	36	1016
7	41	997
8	45	968
9	49	942
10	51	889
11	55	873
12	59	859
13	65	868
14	71	884
15	75	871
16	80	862
17	84	852
18	89	847
19	93	843
20	103	879
21	107	870
22	112	868
23	119	875
24	125	875
25	131	880
26	135	870
27	139	858
28	143	848
29	148	841
30	152	831
31	156	820
32	159	809
33	164	803
34	168	794
35	172	783
36	176	777
37	182	776
38	185	767
39	189	758
40	194	753
41	197	744
42	201	736
43	205	727
44	210	725
45	214	717
46	218	709
47	221	702
48	226	696
49	234	702
50	241	704
51	245	699
52	250	695
53	255	691
54	260	685
55	266	685
56	270	678
57	274	671
58	278	665
59	286	667
60	290	661
61	295	657
62	298	649
63	304	646
64	312	648
65	317	644
66	321	637
67	326	633
68	331	630
69	335	623
70	339	616
71	344	611
72	348	605
73	352	599
74	356	594
75	361	590
76	366	584
77	369	578
78	373	572
79	379	569
80	383	563
81	386	556
82	391	552
83	395	546
84	399	540
85	403	534
86	408	531
87	412	525
88	416	519
89	420	513
90	426	511
91	430	505
92	435	501
93	441	497
94	445	492
95	448	486
96	454	482
97	459	477
98	462	471
99	467	467
100	472	462
101	475	457
102	479	451
103	483	446
104	489	442
105	493	437
106	498	433
107	503	428
108	507	423
109	511	418
110	515	413
111	520	409
112	524	403
113	528	398
114	535	396
115	539	390
116	543	385
117	546	380
118	549	373
119	552	368
120	556	363
121	560	358
122	565	354
123	569	348
124	573	343
125	576	338
126	581	334
127	586	329
128	590	324
129	595	320
130	599	315
131	602	310
132	606	305
133	612	301
134	617	297
135	620	292
136	627	288
137	631	283
138	635	279
139	639	274
140	644	269
141	648	265
142	652	260
143	658	256
144	662	251
145	666	246
146	673	242
147	678	238
148	682	233
149	690	230
150	695	225
151	701	221
152	706	217
153	710	212
154	714	207
155	720	203
156	726	199
157	730	194
158	734	189
159	739	184
160	742	179
161	747	175
162	752	170
163	756	165
164	759	161
165	764	156
166	769	152
167	775	147
168	779	142
169	783	138
170	787	133
171	791	128
172	795	124
173	798	119
174	803	114
175	807	110
176	811	105
177	816	100
178	821	96
179	826	91
180	830	87
181	835	82
182	839	77
183	842	73
184	847	68
185	852	64
186	856	59
187	859	54
188	865	50
189	869	45
190	873	41
191	877	36
192	883	32
193	887	27
194	891	22
195	897	18
196	901	13
197	905	9
198	910	4
199	915	0
